Name;Source;Category
route_views/19980805;Netzschleuder;Technological
route_views/19990303;Netzschleuder;Technological
route_views/19991231;Netzschleuder;Technological
route_views/19980904;Netzschleuder;Technological
route_views/19990324;Netzschleuder;Technological
route_views/19971112;Netzschleuder;Technological
route_views/19971201;Netzschleuder;Technological
route_views/19980602;Netzschleuder;Technological
route_views/19980127;Netzschleuder;Technological
route_views/19980801;Netzschleuder;Technological
route_views/19991001;Netzschleuder;Technological
route_views/19990819;Netzschleuder;Technological
route_views/19980319;Netzschleuder;Technological
route_views/19991013;Netzschleuder;Technological
route_views/19981120;Netzschleuder;Technological
route_views/19991016;Netzschleuder;Technological
route_views/19990704;Netzschleuder;Technological
route_views/19980421;Netzschleuder;Technological
route_views/19980313;Netzschleuder;Technological
route_views/19980501;Netzschleuder;Technological
route_views/19991105;Netzschleuder;Technological
route_views/19990605;Netzschleuder;Technological
route_views/19990128;Netzschleuder;Technological
route_views/19990817;Netzschleuder;Technological
route_views/19980728;Netzschleuder;Technological
route_views/19980102;Netzschleuder;Technological
route_views/19971218;Netzschleuder;Technological
route_views/19980507;Netzschleuder;Technological
route_views/19990508;Netzschleuder;Technological
route_views/19981212;Netzschleuder;Technological
route_views/19990120;Netzschleuder;Technological
route_views/19981220;Netzschleuder;Technological
route_views/19980818;Netzschleuder;Technological
route_views/19990614;Netzschleuder;Technological
route_views/19990922;Netzschleuder;Technological
route_views/19980208;Netzschleuder;Technological
route_views/19990320;Netzschleuder;Technological
route_views/19971118;Netzschleuder;Technological
route_views/19981206;Netzschleuder;Technological
route_views/19991114;Netzschleuder;Technological
route_views/19990906;Netzschleuder;Technological
route_views/19971226;Netzschleuder;Technological
route_views/19990523;Netzschleuder;Technological
route_views/19990815;Netzschleuder;Technological
route_views/19990804;Netzschleuder;Technological
route_views/19981022;Netzschleuder;Technological
route_views/19990417;Netzschleuder;Technological
route_views/19980104;Netzschleuder;Technological
route_views/19971123;Netzschleuder;Technological
route_views/19980504;Netzschleuder;Technological
route_views/19981106;Netzschleuder;Technological
route_views/19990818;Netzschleuder;Technological
route_views/19980316;Netzschleuder;Technological
route_views/19990317;Netzschleuder;Technological
route_views/19990708;Netzschleuder;Technological
route_views/19990223;Netzschleuder;Technological
route_views/19980106;Netzschleuder;Technological
route_views/19980615;Netzschleuder;Technological
route_views/19990620;Netzschleuder;Technological
route_views/19981214;Netzschleuder;Technological
route_views/19980822;Netzschleuder;Technological
route_views/19981213;Netzschleuder;Technological
route_views/19980330;Netzschleuder;Technological
